player,runs,mins,balls,fours,sixes,sr,batting,opposition,ground,date
RG Sharma (INDIA),4,19,14,0,0,28.57,2,v West Indies,Kanpur,27/11/13
S Dhawan (INDIA),119,164,95,20,0,125.26,2,v West Indies,Kanpur,27/11/13
V Kohli (INDIA),19,19,18,3,0,105.55,2,v West Indies,Kanpur,27/11/13
Yuvraj Singh (INDIA),55,91,74,7,0,74.32,2,v West Indies,Kanpur,27/11/13
SK Raina (INDIA),34,55,43,3,0,79.06,2,v West Indies,Kanpur,27/11/13
MS Dhoni (INDIA),23*,48,23,3,0,100,2,v West Indies,Kanpur,27/11/13
RA Jadeja (INDIA),2*,16,11,0,0,18.18,2,v West Indies,Kanpur,27/11/13
RG Sharma (INDIA),18,69,43,2,0,41.86,2,v South Africa,Johannesburg,05/12/13
S Dhawan (INDIA),12,19,13,3,0,92.3,2,v South Africa,Johannesburg,05/12/13
V Kohli (INDIA),31,41,35,5,0,88.57,2,v South Africa,Johannesburg,05/12/13
Yuvraj Singh (INDIA),0,2,2,0,0,0,2,v South Africa,Johannesburg,05/12/13
SK Raina (INDIA),14,39,20,2,0,70,2,v South Africa,Johannesburg,05/12/13
MS Dhoni (INDIA),65,125,71,8,1,91.54,2,v South Africa,Johannesburg,05/12/13
RA Jadeja (INDIA),29,36,30,6,0,96.66,2,v South Africa,Johannesburg,05/12/13
RG Sharma (INDIA),19,34,26,2,0,73.07,2,v South Africa,Durban,08/12/13
S Dhawan (INDIA),0,9,2,0,0,0,2,v South Africa,Durban,08/12/13
V Kohli (INDIA),0,7,5,0,0,0,2,v South Africa,Durban,08/12/13
AM Rahane (INDIA),8,23,17,1,0,47.05,2,v South Africa,Durban,08/12/13
SK Raina (INDIA),36,64,50,3,0,72,2,v South Africa,Durban,08/12/13
MS Dhoni (INDIA),19,43,31,0,0,61.29,2,v South Africa,Durban,08/12/13
RA Jadeja (INDIA),26,63,34,1,1,76.47,2,v South Africa,Durban,08/12/13
RG Sharma (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
SK Raina (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
RA Jadeja (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
MS Dhoni (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
S Dhawan (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
V Kohli (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
Yuvraj Singh (INDIA),TDNB,-0,-0,-0,-0,-0,-0,v South Africa,Centurion,11/12/13
AJ Finch (AUSTRALIA),121,180,128,12,0,94.53,2,v England,Melbourne,12/01/14
DA Warner (AUSTRALIA),65,121,72,5,1,90.27,2,v England,Melbourne,12/01/14
SR Watson (AUSTRALIA),0,5,2,0,0,0,2,v England,Melbourne,12/01/14
MJ Clarke (AUSTRALIA),43,64,42,6,0,102.38,2,v England,Melbourne,12/01/14
GJ Bailey (AUSTRALIA),17*,28,18,1,0,94.44,2,v England,Melbourne,12/01/14
GJ Maxwell (AUSTRALIA),8*,16,12,0,0,66.66,2,v England,Melbourne,12/01/14
BJ Haddin (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v England,Melbourne,12/01/14
DA Warner (AUSTRALIA),18,23,14,2,0,128.57,2,v England,Brisbane,17/01/14
AJ Finch (AUSTRALIA),0,5,3,0,0,0,2,v England,Brisbane,17/01/14
SE Marsh (AUSTRALIA),55,79,69,7,0,79.71,2,v England,Brisbane,17/01/14
MJ Clarke (AUSTRALIA),17,30,20,2,0,85,2,v England,Brisbane,17/01/14
GJ Bailey (AUSTRALIA),24,37,28,0,0,85.71,2,v England,Brisbane,17/01/14
GJ Maxwell (AUSTRALIA),54,56,39,8,0,138.46,2,v England,Brisbane,17/01/14
BJ Haddin (AUSTRALIA),26,46,35,2,0,74.28,2,v England,Brisbane,17/01/14
RG Sharma (INDIA),3,24,23,0,0,13.04,2,v New Zealand,Napier,19/01/14
S Dhawan (INDIA),32,84,46,3,0,69.56,2,v New Zealand,Napier,19/01/14
V Kohli (INDIA),123,179,111,11,2,110.81,2,v New Zealand,Napier,19/01/14
AM Rahane (INDIA),7,10,13,0,0,53.84,2,v New Zealand,Napier,19/01/14
SK Raina (INDIA),18,26,22,2,0,81.81,2,v New Zealand,Napier,19/01/14
MS Dhoni (INDIA),40,72,46,2,2,86.95,2,v New Zealand,Napier,19/01/14
RA Jadeja (INDIA),0,2,3,0,0,0,2,v New Zealand,Napier,19/01/14
AJ Finch (AUSTRALIA),22,32,20,3,0,110,2,v England,Sydney,19/01/14
DA Warner (AUSTRALIA),71,85,70,7,2,101.42,2,v England,Sydney,19/01/14
SE Marsh (AUSTRALIA),71*,144,89,7,0,79.77,2,v England,Sydney,19/01/14
MJ Clarke (AUSTRALIA),34,38,28,4,0,121.42,2,v England,Sydney,19/01/14
BJ Haddin (AUSTRALIA),35*,52,33,5,1,106.06,2,v England,Sydney,19/01/14
GJ Maxwell (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v England,Sydney,19/01/14
DT Christian (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v England,Sydney,19/01/14
S Dhawan (INDIA),12,32,22,2,0,54.54,2,v New Zealand,Hamilton,22/01/14
RG Sharma (INDIA),20,42,34,2,1,58.82,2,v New Zealand,Hamilton,22/01/14
V Kohli (INDIA),78,88,65,7,2,120,2,v New Zealand,Hamilton,22/01/14
AM Rahane (INDIA),36,52,42,4,0,85.71,2,v New Zealand,Hamilton,22/01/14
MS Dhoni (INDIA),56,81,44,7,1,127.27,2,v New Zealand,Hamilton,22/01/14
SK Raina (INDIA),35,36,22,6,0,159.09,2,v New Zealand,Hamilton,22/01/14
RA Jadeja (INDIA),12,20,8,0,1,150,2,v New Zealand,Hamilton,22/01/14
SE Marsh (AUSTRALIA),15,31,17,2,0,88.23,2,v England,Perth,24/01/14
AJ Finch (AUSTRALIA),108,151,111,8,4,97.29,2,v England,Perth,24/01/14
MS Wade (AUSTRALIA),23,51,42,1,0,54.76,2,v England,Perth,24/01/14
GJ Bailey (AUSTRALIA),11,22,15,1,0,73.33,2,v England,Perth,24/01/14
SPD Smith (AUSTRALIA),19,25,16,2,1,118.75,2,v England,Perth,24/01/14
GJ Maxwell (AUSTRALIA),26,39,26,2,0,100,2,v England,Perth,24/01/14
DT Christian (AUSTRALIA),23,48,19,1,1,121.05,2,v England,Perth,24/01/14
RG Sharma (INDIA),39,65,38,1,4,102.63,2,v New Zealand,Auckland,25/01/14
S Dhawan (INDIA),28,46,25,4,1,112,2,v New Zealand,Auckland,25/01/14
V Kohli (INDIA),6,27,20,1,0,30,2,v New Zealand,Auckland,25/01/14
AM Rahane (INDIA),3,22,14,0,0,21.42,2,v New Zealand,Auckland,25/01/14
SK Raina (INDIA),31,59,39,3,0,79.48,2,v New Zealand,Auckland,25/01/14
MS Dhoni (INDIA),50,79,60,2,3,83.33,2,v New Zealand,Auckland,25/01/14
R Ashwin (INDIA),65,78,46,8,1,141.3,2,v New Zealand,Auckland,25/01/14
AJ Finch (AUSTRALIA),7,21,16,1,0,43.75,1,v England,Adelaide,26/01/14
SE Marsh (AUSTRALIA),36,85,52,3,0,69.23,1,v England,Adelaide,26/01/14
SR Watson (AUSTRALIA),0,9,4,0,0,0,1,v England,Adelaide,26/01/14
MJ Clarke (AUSTRALIA),8,30,26,0,0,30.76,1,v England,Adelaide,26/01/14
GJ Bailey (AUSTRALIA),56,105,74,4,0,75.67,1,v England,Adelaide,26/01/14
GJ Maxwell (AUSTRALIA),22,36,35,1,0,62.85,1,v England,Adelaide,26/01/14
MS Wade (AUSTRALIA),31,58,46,2,0,67.39,1,v England,Adelaide,26/01/14
RG Sharma (INDIA),79,131,94,6,4,84.04,1,v New Zealand,Hamilton,28/01/14
V Kohli (INDIA),2,14,10,0,0,20,1,v New Zealand,Hamilton,28/01/14
AM Rahane (INDIA),3,22,8,0,0,37.5,1,v New Zealand,Hamilton,28/01/14
AT Rayudu (INDIA),37,64,58,3,2,63.79,1,v New Zealand,Hamilton,28/01/14
MS Dhoni (INDIA),79*,111,73,6,3,108.21,1,v New Zealand,Hamilton,28/01/14
R Ashwin (INDIA),5,3,3,1,0,166.66,1,v New Zealand,Hamilton,28/01/14
RA Jadeja (INDIA),62*,78,54,8,2,114.81,1,v New Zealand,Hamilton,28/01/14
RG Sharma (INDIA),4,20,13,0,0,30.76,2,v New Zealand,Wellington,31/01/14
S Dhawan (INDIA),9,43,28,1,0,32.14,2,v New Zealand,Wellington,31/01/14
V Kohli (INDIA),82,129,78,7,3,105.12,2,v New Zealand,Wellington,31/01/14
AM Rahane (INDIA),2,15,10,0,0,20,2,v New Zealand,Wellington,31/01/14
AT Rayudu (INDIA),20,44,40,2,0,50,2,v New Zealand,Wellington,31/01/14
MS Dhoni (INDIA),47,79,72,3,0,65.27,2,v New Zealand,Wellington,31/01/14
R Ashwin (INDIA),7,15,11,1,0,63.63,2,v New Zealand,Wellington,31/01/14
RG Sharma (INDIA),21,57,29,1,1,72.41,2,v Bangladesh,Fatullah,26/02/14
S Dhawan (INDIA),28,50,44,5,0,63.63,2,v Bangladesh,Fatullah,26/02/14
V Kohli (INDIA),136,157,122,16,2,111.47,2,v Bangladesh,Fatullah,26/02/14
AM Rahane (INDIA),73,158,83,7,1,87.95,2,v Bangladesh,Fatullah,26/02/14
AT Rayudu (INDIA),9*,15,15,0,0,60,2,v Bangladesh,Fatullah,26/02/14
KD Karthik (INDIA),2*,7,2,0,0,100,2,v Bangladesh,Fatullah,26/02/14
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Fatullah,26/02/14
RG Sharma (INDIA),13,37,28,1,0,46.42,1,v Sri Lanka,Fatullah,28/02/14
S Dhawan (INDIA),94,161,114,7,1,82.45,1,v Sri Lanka,Fatullah,28/02/14
V Kohli (INDIA),48,66,51,4,1,94.11,1,v Sri Lanka,Fatullah,28/02/14
AM Rahane (INDIA),22,40,27,1,0,81.48,1,v Sri Lanka,Fatullah,28/02/14
AT Rayudu (INDIA),18,27,23,1,0,78.26,1,v Sri Lanka,Fatullah,28/02/14
KD Karthik (INDIA),4,2,3,1,0,133.33,1,v Sri Lanka,Fatullah,28/02/14
RA Jadeja (INDIA),22*,48,27,0,1,81.48,1,v Sri Lanka,Fatullah,28/02/14
RG Sharma (INDIA),56,86,58,7,2,96.55,1,v Pakistan,Dhaka,02/03/14
S Dhawan (INDIA),10,12,13,2,0,76.92,1,v Pakistan,Dhaka,02/03/14
V Kohli (INDIA),5,29,11,0,0,45.45,1,v Pakistan,Dhaka,02/03/14
AM Rahane (INDIA),23,62,50,3,0,46,1,v Pakistan,Dhaka,02/03/14
AT Rayudu (INDIA),58,117,62,4,1,93.54,1,v Pakistan,Dhaka,02/03/14
KD Karthik (INDIA),23,54,46,1,0,50,1,v Pakistan,Dhaka,02/03/14
RA Jadeja (INDIA),52*,62,49,4,2,106.12,1,v Pakistan,Dhaka,02/03/14
AM Rahane (INDIA),56,90,66,5,0,84.84,2,v Afghanistan,Dhaka,05/03/14
S Dhawan (INDIA),60,98,78,4,1,76.92,2,v Afghanistan,Dhaka,05/03/14
RG Sharma (INDIA),18*,36,24,1,0,75,2,v Afghanistan,Dhaka,05/03/14
KD Karthik (INDIA),21*,28,27,3,0,77.77,2,v Afghanistan,Dhaka,05/03/14
AT Rayudu (INDIA),DNB,-0,-0,-0,-0,-0,2,v Afghanistan,Dhaka,05/03/14
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v Afghanistan,Dhaka,05/03/14
V Kohli (INDIA),DNB,-0,-0,-0,-0,-0,2,v Afghanistan,Dhaka,05/03/14
RV Uthappa (INDIA),50,67,44,3,3,113.63,2,v Bangladesh,Dhaka,15/06/14
AM Rahane (INDIA),64,93,70,5,2,91.42,2,v Bangladesh,Dhaka,15/06/14
CA Pujara (INDIA),0,5,5,0,0,0,2,v Bangladesh,Dhaka,15/06/14
AT Rayudu (INDIA),16*,33,19,2,0,84.21,2,v Bangladesh,Dhaka,15/06/14
SK Raina (INDIA),15*,13,11,3,0,136.36,2,v Bangladesh,Dhaka,15/06/14
WP Saha (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Dhaka,15/06/14
AR Patel (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Dhaka,15/06/14
RV Uthappa (INDIA),14,37,24,2,0,58.33,1,v Bangladesh,Dhaka,17/06/14
AM Rahane (INDIA),0,1,1,0,0,0,1,v Bangladesh,Dhaka,17/06/14
CA Pujara (INDIA),11,66,34,0,0,32.35,1,v Bangladesh,Dhaka,17/06/14
AT Rayudu (INDIA),1,7,7,0,0,14.28,1,v Bangladesh,Dhaka,17/06/14
SK Raina (INDIA),27,44,23,3,0,117.39,1,v Bangladesh,Dhaka,17/06/14
WP Saha (INDIA),5,17,12,1,0,41.66,1,v Bangladesh,Dhaka,17/06/14
STR Binny (INDIA),3,29,8,0,0,37.5,1,v Bangladesh,Dhaka,17/06/14
RV Uthappa (INDIA),5,21,13,1,0,38.46,1,v Bangladesh,Dhaka,19/06/14
AM Rahane (INDIA),3,25,18,0,0,16.66,1,v Bangladesh,Dhaka,19/06/14
CA Pujara (INDIA),27,108,63,2,0,42.85,1,v Bangladesh,Dhaka,19/06/14
AT Rayudu (INDIA),1,14,6,0,0,16.66,1,v Bangladesh,Dhaka,19/06/14
MK Tiwary (INDIA),2,7,6,0,0,33.33,1,v Bangladesh,Dhaka,19/06/14
SK Raina (INDIA),25,45,25,3,0,100,1,v Bangladesh,Dhaka,19/06/14
WP Saha (INDIA),16,23,21,2,0,76.19,1,v Bangladesh,Dhaka,19/06/14
AJ Finch (AUSTRALIA),67,118,79,5,3,84.81,1,v Zimbabwe,Harare,25/08/14
BJ Haddin (AUSTRALIA),46,74,58,2,2,79.31,1,v Zimbabwe,Harare,25/08/14
MR Marsh (AUSTRALIA),89,108,83,7,4,107.22,1,v Zimbabwe,Harare,25/08/14
GJ Bailey (AUSTRALIA),14,26,21,1,0,66.66,1,v Zimbabwe,Harare,25/08/14
GJ Maxwell (AUSTRALIA),93,50,46,9,5,202.17,1,v Zimbabwe,Harare,25/08/14
SPD Smith (AUSTRALIA),1,7,1,0,0,100,1,v Zimbabwe,Harare,25/08/14
JP Faulkner (AUSTRALIA),5*,18,5,1,0,100,1,v Zimbabwe,Harare,25/08/14
AJ Finch (AUSTRALIA),102,173,116,9,1,87.93,1,v South Africa,Harare,27/08/14
PJ Hughes (AUSTRALIA),51,81,63,8,0,80.95,1,v South Africa,Harare,27/08/14
MR Marsh (AUSTRALIA),5,19,13,0,0,38.46,1,v South Africa,Harare,27/08/14
GJ Bailey (AUSTRALIA),66,81,54,3,3,122.22,1,v South Africa,Harare,27/08/14
GJ Maxwell (AUSTRALIA),7,18,8,1,0,87.5,1,v South Africa,Harare,27/08/14
SPD Smith (AUSTRALIA),31,36,19,4,0,163.15,1,v South Africa,Harare,27/08/14
BJ Haddin (AUSTRALIA),9,8,7,0,1,128.57,1,v South Africa,Harare,27/08/14
RG Sharma (INDIA),52,126,87,4,1,59.77,1,v England,Cardiff,27/08/14
S Dhawan (INDIA),11,29,22,2,0,50,1,v England,Cardiff,27/08/14
V Kohli (INDIA),0,1,3,0,0,0,1,v England,Cardiff,27/08/14
AM Rahane (INDIA),41,70,47,4,0,87.23,1,v England,Cardiff,27/08/14
SK Raina (INDIA),100,106,75,12,3,133.33,1,v England,Cardiff,27/08/14
MS Dhoni (INDIA),52,94,51,6,0,101.96,1,v England,Cardiff,27/08/14
RA Jadeja (INDIA),9*,20,11,0,0,81.81,1,v England,Cardiff,27/08/14
AM Rahane (INDIA),45,71,56,6,1,80.35,2,v England,Nottingham,30/08/14
S Dhawan (INDIA),16,29,23,1,0,69.56,2,v England,Nottingham,30/08/14
V Kohli (INDIA),40,67,50,2,1,80,2,v England,Nottingham,30/08/14
AT Rayudu (INDIA),64*,101,78,6,0,82.05,2,v England,Nottingham,30/08/14
SK Raina (INDIA),42,66,42,5,0,100,2,v England,Nottingham,30/08/14
RA Jadeja (INDIA),12*,10,9,1,0,133.33,2,v England,Nottingham,30/08/14
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Nottingham,30/08/14
AJ Finch (AUSTRALIA),11,22,12,2,0,91.66,1,v Zimbabwe,Harare,31/08/14
PJ Hughes (AUSTRALIA),10,43,30,0,0,33.33,1,v Zimbabwe,Harare,31/08/14
MJ Clarke (AUSTRALIA),68*,142,102,2,0,66.66,1,v Zimbabwe,Harare,31/08/14
GJ Bailey (AUSTRALIA),1,4,5,0,0,20,1,v Zimbabwe,Harare,31/08/14
GJ Maxwell (AUSTRALIA),13,14,17,1,1,76.47,1,v Zimbabwe,Harare,31/08/14
MR Marsh (AUSTRALIA),15,44,37,1,0,40.54,1,v Zimbabwe,Harare,31/08/14
BJ Haddin (AUSTRALIA),49,91,66,2,3,74.24,1,v Zimbabwe,Harare,31/08/14
AJ Finch (AUSTRALIA),16,42,36,1,0,44.44,1,v South Africa,Harare,02/09/14
PJ Hughes (AUSTRALIA),85,144,92,7,1,92.39,1,v South Africa,Harare,02/09/14
SPD Smith (AUSTRALIA),36,72,62,2,0,58.06,1,v South Africa,Harare,02/09/14
GJ Maxwell (AUSTRALIA),2,9,6,0,0,33.33,1,v South Africa,Harare,02/09/14
GJ Bailey (AUSTRALIA),32,44,35,3,1,91.42,1,v South Africa,Harare,02/09/14
MR Marsh (AUSTRALIA),86*,69,51,5,7,168.62,1,v South Africa,Harare,02/09/14
BJ Haddin (AUSTRALIA),11,32,17,1,0,64.7,1,v South Africa,Harare,02/09/14
AM Rahane (INDIA),106,121,100,10,4,106,2,v England,Birmingham,02/09/14
S Dhawan (INDIA),97*,132,81,11,4,119.75,2,v England,Birmingham,02/09/14
V Kohli (INDIA),1*,9,3,0,0,33.33,2,v England,Birmingham,02/09/14
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Birmingham,02/09/14
AT Rayudu (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Birmingham,02/09/14
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Birmingham,02/09/14
SK Raina (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Birmingham,02/09/14
AM Rahane (INDIA),0,2,3,0,0,0,2,v England,Leeds,05/09/14
S Dhawan (INDIA),31,54,44,4,1,70.45,2,v England,Leeds,05/09/14
V Kohli (INDIA),13,25,21,2,0,61.9,2,v England,Leeds,05/09/14
AT Rayudu (INDIA),53,89,65,3,2,81.53,2,v England,Leeds,05/09/14
SK Raina (INDIA),18,27,23,2,0,78.26,2,v England,Leeds,05/09/14
MS Dhoni (INDIA),29,63,42,1,1,69.04,2,v England,Leeds,05/09/14
RA Jadeja (INDIA),87,87,68,9,2,127.94,2,v England,Leeds,05/09/14
AJ Finch (AUSTRALIA),54,115,87,5,0,62.06,1,v South Africa,Harare,06/09/14
PJ Hughes (AUSTRALIA),15,18,16,2,0,93.75,1,v South Africa,Harare,06/09/14
SPD Smith (AUSTRALIA),10,20,15,2,0,66.66,1,v South Africa,Harare,06/09/14
GJ Bailey (AUSTRALIA),12,38,28,0,0,42.85,1,v South Africa,Harare,06/09/14
MR Marsh (AUSTRALIA),27,67,46,1,1,58.69,1,v South Africa,Harare,06/09/14
