player,runs,mins,balls,fours,sixes,sr,batting,opposition,ground,date
GJ Maxwell (AUSTRALIA),0,1,1,0,0,0,1,v South Africa,Harare,06/09/14
BJ Haddin (AUSTRALIA),6,37,19,0,0,31.57,1,v South Africa,Harare,06/09/14
AJ Finch (AUSTRALIA),0,1,1,0,0,0,1,v Pakistan,Sharjah,07/10/14
DA Warner (AUSTRALIA),43,78,63,5,0,68.25,1,v Pakistan,Sharjah,07/10/14
SPD Smith (AUSTRALIA),101,186,118,6,2,85.59,1,v Pakistan,Sharjah,07/10/14
GJ Bailey (AUSTRALIA),18,27,24,0,1,75,1,v Pakistan,Sharjah,07/10/14
GJ Maxwell (AUSTRALIA),21,24,23,1,0,91.3,1,v Pakistan,Sharjah,07/10/14
JP Faulkner (AUSTRALIA),11,36,20,1,0,55,1,v Pakistan,Sharjah,07/10/14
BJ Haddin (AUSTRALIA),23*,46,27,3,0,85.18,1,v Pakistan,Sharjah,07/10/14
AM Rahane (INDIA),24,43,22,4,0,109.09,2,v West Indies,Kochi,08/10/14
S Dhawan (INDIA),68,146,92,9,0,73.91,2,v West Indies,Kochi,08/10/14
V Kohli (INDIA),2,7,5,0,0,40,2,v West Indies,Kochi,08/10/14
AT Rayudu (INDIA),13,33,21,1,0,61.9,2,v West Indies,Kochi,08/10/14
SK Raina (INDIA),0,3,2,0,0,0,2,v West Indies,Kochi,08/10/14
MS Dhoni (INDIA),8,37,21,0,0,38.09,2,v West Indies,Kochi,08/10/14
RA Jadeja (INDIA),33*,80,36,2,1,91.66,2,v West Indies,Kochi,08/10/14
DA Warner (AUSTRALIA),29,58,27,5,0,107.4,2,v Pakistan,Dubai (DSC),10/10/14
AJ Finch (AUSTRALIA),14,18,12,3,0,116.66,2,v Pakistan,Dubai (DSC),10/10/14
SPD Smith (AUSTRALIA),12,12,15,2,0,80,2,v Pakistan,Dubai (DSC),10/10/14
GJ Bailey (AUSTRALIA),28,102,68,3,0,41.17,2,v Pakistan,Dubai (DSC),10/10/14
GJ Maxwell (AUSTRALIA),76,98,81,9,1,93.82,2,v Pakistan,Dubai (DSC),10/10/14
JP Faulkner (AUSTRALIA),26*,46,37,3,0,70.27,2,v Pakistan,Dubai (DSC),10/10/14
BJ Haddin (AUSTRALIA),17*,25,20,1,1,85,2,v Pakistan,Dubai (DSC),10/10/14
AM Rahane (INDIA),12,59,28,1,0,42.85,1,v West Indies,Delhi,11/10/14
S Dhawan (INDIA),1,9,9,0,0,11.11,1,v West Indies,Delhi,11/10/14
AT Rayudu (INDIA),32,72,54,3,0,59.25,1,v West Indies,Delhi,11/10/14
V Kohli (INDIA),62,124,78,5,0,79.48,1,v West Indies,Delhi,11/10/14
SK Raina (INDIA),62,83,60,5,2,103.33,1,v West Indies,Delhi,11/10/14
MS Dhoni (INDIA),51*,66,40,5,1,127.5,1,v West Indies,Delhi,11/10/14
RA Jadeja (INDIA),6,21,16,0,0,37.5,1,v West Indies,Delhi,11/10/14
AJ Finch (AUSTRALIA),18,45,34,3,0,52.94,1,v Pakistan,Abu Dhabi,12/10/14
DA Warner (AUSTRALIA),56,93,63,6,1,88.88,1,v Pakistan,Abu Dhabi,12/10/14
SPD Smith (AUSTRALIA),77,151,105,3,0,73.33,1,v Pakistan,Abu Dhabi,12/10/14
GJ Bailey (AUSTRALIA),0,3,3,0,0,0,1,v Pakistan,Abu Dhabi,12/10/14
GJ Maxwell (AUSTRALIA),20,27,22,1,0,90.9,1,v Pakistan,Abu Dhabi,12/10/14
PJ Hughes (AUSTRALIA),5,25,14,0,0,35.71,1,v Pakistan,Abu Dhabi,12/10/14
BJ Haddin (AUSTRALIA),2,6,6,0,0,33.33,1,v Pakistan,Abu Dhabi,12/10/14
AM Rahane (INDIA),68,102,79,7,0,86.07,1,v West Indies,Dharamsala,17/10/14
S Dhawan (INDIA),35,51,35,6,1,100,1,v West Indies,Dharamsala,17/10/14
V Kohli (INDIA),127,164,114,13,3,111.4,1,v West Indies,Dharamsala,17/10/14
SK Raina (INDIA),71,81,58,3,5,122.41,1,v West Indies,Dharamsala,17/10/14
MS Dhoni (INDIA),6,10,5,0,0,120,1,v West Indies,Dharamsala,17/10/14
RA Jadeja (INDIA),2,4,2,0,0,100,1,v West Indies,Dharamsala,17/10/14
AT Rayudu (INDIA),12*,18,7,0,1,171.42,1,v West Indies,Dharamsala,17/10/14
AM Rahane (INDIA),111,170,108,13,2,102.77,1,v Sri Lanka,Cuttack,02/11/14
S Dhawan (INDIA),113,159,107,14,3,105.6,1,v Sri Lanka,Cuttack,02/11/14
SK Raina (INDIA),52,36,34,4,3,152.94,1,v Sri Lanka,Cuttack,02/11/14
V Kohli (INDIA),22,34,21,2,0,104.76,1,v Sri Lanka,Cuttack,02/11/14
AT Rayudu (INDIA),27,22,20,3,0,135,1,v Sri Lanka,Cuttack,02/11/14
WP Saha (INDIA),10*,20,8,1,0,125,1,v Sri Lanka,Cuttack,02/11/14
AR Patel (INDIA),14*,5,4,0,2,350,1,v Sri Lanka,Cuttack,02/11/14
AM Rahane (INDIA),8,-0,19,1,0,42.1,2,v Sri Lanka,Ahmedabad,06/11/14
S Dhawan (INDIA),79,-0,80,7,1,98.75,2,v Sri Lanka,Ahmedabad,06/11/14
AT Rayudu (INDIA),121*,-0,118,10,4,102.54,2,v Sri Lanka,Ahmedabad,06/11/14
V Kohli (INDIA),49,-0,44,2,2,111.36,2,v Sri Lanka,Ahmedabad,06/11/14
SK Raina (INDIA),14,-0,6,1,1,233.33,2,v Sri Lanka,Ahmedabad,06/11/14
RA Jadeja (INDIA),1*,-0,1,0,0,100,2,v Sri Lanka,Ahmedabad,06/11/14
WP Saha (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Ahmedabad,06/11/14
AM Rahane (INDIA),31,-0,47,5,0,65.95,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
S Dhawan (INDIA),91,-0,79,8,1,115.18,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
AT Rayudu (INDIA),35,-0,46,3,0,76.08,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
V Kohli (INDIA),53,-0,61,4,1,86.88,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
SK Raina (INDIA),18*,-0,23,0,1,78.26,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
WP Saha (INDIA),6*,-0,10,1,0,60,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
R Ashwin (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Hyderabad (Deccan),09/11/14
AM Rahane (INDIA),28,33,24,6,0,116.66,1,v Sri Lanka,Kolkata,13/11/14
RG Sharma (INDIA),264,225,173,33,9,152.6,1,v Sri Lanka,Kolkata,13/11/14
AT Rayudu (INDIA),8,24,19,0,0,42.1,1,v Sri Lanka,Kolkata,13/11/14
V Kohli (INDIA),66,109,64,6,0,103.12,1,v Sri Lanka,Kolkata,13/11/14
SK Raina (INDIA),11,8,5,1,1,220,1,v Sri Lanka,Kolkata,13/11/14
RV Uthappa (INDIA),16*,48,16,1,0,100,1,v Sri Lanka,Kolkata,13/11/14
STR Binny (INDIA),DNB,-0,-0,-0,-0,-0,1,v Sri Lanka,Kolkata,13/11/14
DA Warner (AUSTRALIA),46,68,49,1,3,93.87,1,v South Africa,Perth,14/11/14
AJ Finch (AUSTRALIA),35,72,40,4,1,87.5,1,v South Africa,Perth,14/11/14
SR Watson (AUSTRALIA),13,42,27,1,0,48.14,1,v South Africa,Perth,14/11/14
MJ Clarke (AUSTRALIA),11,22,20,1,0,55,1,v South Africa,Perth,14/11/14
GJ Bailey (AUSTRALIA),70,106,75,3,3,93.33,1,v South Africa,Perth,14/11/14
MR Marsh (AUSTRALIA),10,15,15,1,0,66.66,1,v South Africa,Perth,14/11/14
MS Wade (AUSTRALIA),35,83,40,2,0,87.5,1,v South Africa,Perth,14/11/14
DA Warner (AUSTRALIA),0,6,5,0,0,0,1,v South Africa,Perth,16/11/14
AJ Finch (AUSTRALIA),8,22,14,0,1,57.14,1,v South Africa,Perth,16/11/14
SR Watson (AUSTRALIA),11,43,26,1,0,42.3,1,v South Africa,Perth,16/11/14
